NASA SC(2)-0714 AIRFOIL				
0.14 max tickness					
1 Is supercritical					
alpha	CL	CD	CDp	CM     To	p_Xtr  Bo	t_Xtr
-19.75	-1.1686	0.08321	0.07959	-0.0638	1	0.0235
-19.5	-1.1791	0.07802	0.07429	-0.0664	1	0.0236
-19.25	-1.1874	0.07324	0.06939	-0.0688	1	0.0237
-19	-1.1933	0.06892	0.06497	-0.0709	1	0.0239
-18.75	-1.1977	0.06495	0.0609	-0.0727	1	0.024
-18.5	-1.1999	0.06137	0.05722	-0.0742	1	0.0241
-18.25	-1.2001	0.05816	0.05391	-0.0755	1	0.0242
-18	-1.1988	0.05527	0.05093	-0.0765	1	0.0243
-17.75	-1.206	0.05161	0.04718	-0.0774	1	0.0246
-17.5	-1.2099	0.04849	0.04398	-0.078	1	0.0249
-17.25	-1.2096	0.04596	0.0414	-0.0782	1	0.0252
-17	-1.2071	0.04378	0.03918	-0.0782	1	0.0254
-16.75	-1.2039	0.04183	0.03718	-0.078	1	0.0257
-16.5	-1.1998	0.04011	0.03541	-0.0774	1	0.0259
-16.25	-1.1962	0.03848	0.03373	-0.0766	1	0.0262
-16	-1.1927	0.03701	0.03221	-0.0755	1	0.0264
-15.75	-1.1903	0.03564	0.03079	-0.0741	1	0.0266
-15.5	-1.1889	0.03439	0.0295	-0.0722	1	0.0269
-15.25	-1.1883	0.03322	0.02829	-0.07	1	0.0271
-15	-1.1882	0.03214	0.02715	-0.0676	1	0.0274
-14.75	-1.1887	0.03112	0.02608	-0.065	1	0.0276
-14.5	-1.1896	0.03018	0.02509	-0.0621	1	0.0278
-14.25	-1.1911	0.02929	0.02416	-0.059	1	0.028
-14	-1.1701	0.02832	0.02312	-0.06	0.999	0.0282
-13.75	-1.1556	0.02668	0.02143	-0.061	0.9972	0.0288
-13.5	-1.1368	0.0255	0.02023	-0.062	0.9956	0.0294
-13.25	-1.1155	0.02457	0.01928	-0.063	0.9942	0.0299
-13	-1.0909	0.02376	0.01844	-0.0644	0.9931	0.0305
-12.75	-1.0688	0.02299	0.01764	-0.065	0.991	0.031
-12.5	-1.044	0.02225	0.01688	-0.0661	0.9888	0.0317
-12.25	-1.0164	0.0216	0.01618	-0.0675	0.9871	0.0322
-12	-0.9884	0.02085	0.01539	-0.0691	0.9856	0.0329
-11.75	-0.9601	0.01985	0.01439	-0.0713	0.9843	0.0339
-11.5	-0.9291	0.01919	0.01373	-0.0734	0.9834	0.0348
-11.25	-0.8971	0.01863	0.01315	-0.0755	0.9827	0.0357
-11	-0.8648	0.01811	0.01261	-0.0775	0.9822	0.0366
-10.75	-0.8318	0.01768	0.01215	-0.0795	0.9816	0.0373
-10.5	-0.7988	0.01683	0.0113	-0.0823	0.9811	0.0389
-10.25	-0.776	0.01634	0.01081	-0.0823	0.9776	0.04
-10	-0.7453	0.01591	0.01038	-0.0838	0.9759	0.0413
-9.75	-0.7129	0.01552	0.00997	-0.0855	0.9747	0.0425
-9.5	-0.6791	0.01488	0.00933	-0.088	0.9737	0.0442
-9.25	-0.6449	0.01442	0.00889	-0.0902	0.9729	0.046
-9	-0.6104	0.01405	0.00851	-0.0923	0.9723	0.0476
-8.75	-0.5752	0.01367	0.00812	-0.0945	0.9718	0.0491
-8.5	-0.5391	0.01319	0.00767	-0.0971	0.9713	0.0517
-8.25	-0.5033	0.01286	0.00736	-0.0994	0.9709	0.0539
-8	-0.4671	0.01252	0.00701	-0.1018	0.9706	0.056
-7.75	-0.4305	0.01211	0.00664	-0.1043	0.9702	0.0592
-7.5	-0.3947	0.01182	0.00635	-0.1065	0.9697	0.062
-7.25	-0.3578	0.01144	0.006	-0.109	0.9693	0.0662
-7	-0.3214	0.01114	0.00572	-0.1113	0.9688	0.0705
-6.75	-0.2845	0.01079	0.00543	-0.1137	0.9682	0.077
-6.5	-0.2508	0.01051	0.0052	-0.1154	0.9669	0.0846
-6.25	-0.2207	0.01029	0.00502	-0.1162	0.9644	0.093
-6	-0.1868	0.01	0.00479	-0.1179	0.9627	0.1043
-5.75	-0.151	0.00964	0.00455	-0.1202	0.9615	0.1232
-5.5	-0.1149	0.0093	0.00433	-0.1224	0.9603	0.1486
-5.25	-0.0771	0.00888	0.00409	-0.1251	0.9594	0.1868
-5	-0.0376	0.00839	0.00382	-0.1283	0.9587	0.2393
-4.75	0.0065	0.00768	0.00348	-0.1329	0.9584	0.333
-4.5	0.0527	0.0069	0.00313	-0.138	0.9583	0.4475
-4.25	0.0935	0.00644	0.003	-0.1413	0.9577	0.5398
-4	0.1272	0.00635	0.00295	-0.1425	0.956	0.5661
-3.75	0.1598	0.0063	0.0029	-0.1432	0.9533	0.5815
-3.5	0.1874	0.00624	0.00287	-0.1429	0.9475	0.592
-3.25	0.2175	0.00615	0.00276	-0.143	0.9419	0.6017
-3	0.2465	0.0061	0.00272	-0.1428	0.9357	0.6089
-2.75	0.275	0.00604	0.00264	-0.1426	0.9275	0.6136
-2.5	0.3055	0.00603	0.00256	-0.1428	0.9216	0.6172
-2.25	0.3335	0.00599	0.00257	-0.1425	0.9126	0.6224
