Begin of Aerodynamic analysis 102 report file
Incidence	Lift	Drag	Efficiency
-1.7453292519943295E-01	-1.0822610600167584E+00	+2.0343637386639041E-01	-5.3198994823194594E+00
-1.7278759594743862E-01	-1.0698679497817287E+00	+1.9900861441003817E-01	-5.3759881347516361E+00
-1.7104226669544428E-01	-1.0574748395466973E+00	+1.9463130237952939E-01	-5.4332207955153606E+00
-1.6929693744344995E-01	-1.0450817293116665E+00	+1.9030440123183207E-01	-5.4916319462235146E+00
-1.6755160819145562E-01	-1.0326886190766364E+00	+1.8602787502516915E-01	-5.5512574066489551E+00
-1.6580627893946129E-01	-1.0202955088416061E+00	+1.8180168841724731E-01	-5.6121343961336496E+00
-1.6406094968746698E-01	-1.0079023986065754E+00	+1.7762580666350303E-01	-5.6743015980552913E+00
-1.6231562043547265E-01	-9.9550928837154573E-01	+1.7350019561537336E-01	-5.7377992274916867E+00
-1.6057029118347832E-01	-9.8311617813651508E-01	+1.6942482171858900E-01	-5.8026691022254697E+00
-1.5882496193148399E-01	-9.7072306790148410E-01	+1.6539965201149417E-01	-5.8689547172325689E+00
-1.5707963267948966E-01	-9.5832995766645424E-01	+1.6142465412338727E-01	-5.9367013227975747E+00
-1.5533430342749532E-01	-9.4593684743142337E-01	+1.5749979627288624E-01	-6.0059560063968629E+00
-1.5358897417550099E-01	-9.3354373719639228E-01	+1.5362504726631940E-01	-6.0767677784862206E+00
-1.5184364492350666E-01	-9.2115062696136241E-01	+1.4980037649613667E-01	-6.1491876623228556E+00
-1.5009831567151233E-01	-9.0875751672633098E-01	+1.4602575393934725E-01	-6.2232687879412660E+00
-1.4835298641951800E-01	-8.9636440649130111E-01	+1.4230115015597775E-01	-6.2990664903887765E+00
-1.4660765716752366E-01	-8.8397129625627002E-01	+1.3862653628755628E-01	-6.3766384123067716E+00
-1.4486232791552933E-01	-8.7157818602123960E-01	+1.3500188405561736E-01	-6.4560446109194407E+00
-1.4311699866353500E-01	-8.5918507578620928E-01	+1.3142716576023089E-01	-6.5373476694587129E+00
-1.4137166941154070E-01	-8.4679196555117875E-01	+1.2790235427855395E-01	-6.6206128130134401E+00
-1.3962634015954636E-01	-8.3439885531614910E-01	+1.2442742306340766E-01	-6.7059080287385129E+00
-1.3788101090755203E-01	-8.2200574508111768E-01	+1.2100234614188708E-01	-6.7933041902942568E+00
-1.3613568165555770E-01	-8.0961263484608770E-01	+1.1762709811398754E-01	-6.8828751863072029E+00
-1.3439035240356337E-01	-7.9721952461105705E-01	+1.1430165415124680E-01	-6.9746980525422346E+00
-1.3264502315156904E-01	-7.8482641437602596E-01	+1.1102598999540944E-01	-7.0688531073532950E+00
-1.3089969389957470E-01	-7.7243330414099565E-01	+1.0780008195711353E-01	-7.1654240898285710E+00
-1.2915436464758037E-01	-7.6004019390596544E-01	+1.0462390691459997E-01	-7.2644982998613665E+00
-1.2740903539558604E-01	-7.4764708367093491E-01	+1.0149744231244212E-01	-7.3661667391522458E+00
-1.2566370614359174E-01	-7.3525397343590471E-01	+9.8420666160300610E-02	-7.4705242518718080E+00
